user_id,product_id,view_count,purchase_count,interaction_score
1,1,1.0,0.0,1.0
1,2,1.0,0.0,1.0
1,15,2.0,0.0,2.0
1,16,3.0,0.0,3.0
1,18,1.0,0.0,1.0
1,19,1.0,0.0,1.0
1,24,0.0,2.0,10.0
1,25,1.0,0.0,1.0
1,30,1.0,0.0,1.0
1,31,4.0,0.0,4.0
1,37,1.0,0.0,1.0
1,39,1.0,0.0,1.0
1,41,1.0,0.0,1.0
1,42,0.0,4.0,20.0
1,43,1.0,0.0,1.0
1,50,1.0,0.0,1.0
1,53,1.0,0.0,1.0
1,54,1.0,0.0,1.0
1,57,1.0,0.0,1.0
1,58,1.0,0.0,1.0
1,63,1.0,0.0,1.0
1,68,1.0,0.0,1.0
1,69,1.0,0.0,1.0
1,72,1.0,0.0,1.0
1,74,1.0,0.0,1.0
1,75,1.0,0.0,1.0
1,82,0.0,4.0,20.0
1,83,1.0,0.0,1.0
1,84,1.0,0.0,1.0
1,93,1.0,0.0,1.0
1,94,0.0,2.0,10.0
1,95,0.0,2.0,10.0
1,97,0.0,2.0,10.0
1,98,1.0,0.0,1.0
1,104,1.0,0.0,1.0
1,109,0.0,3.0,15.0
1,118,1.0,0.0,1.0
1,119,1.0,0.0,1.0
1,120,1.0,0.0,1.0
1,134,1.0,0.0,1.0
1,136,3.0,0.0,3.0
1,150,1.0,0.0,1.0
1,152,2.0,0.0,2.0
1,155,1.0,0.0,1.0
1,157,1.0,0.0,1.0
1,160,1.0,0.0,1.0
1,166,1.0,0.0,1.0
1,171,1.0,0.0,1.0
1,175,1.0,0.0,1.0
1,180,0.0,1.0,5.0
1,181,1.0,0.0,1.0
1,192,1.0,0.0,1.0
2,1,1.0,0.0,1.0
2,2,1.0,0.0,1.0
2,6,2.0,0.0,2.0
2,11,0.0,4.0,20.0
2,13,1.0,0.0,1.0
2,14,1.0,0.0,1.0
2,17,1.0,0.0,1.0
2,20,1.0,0.0,1.0
2,30,1.0,0.0,1.0
2,34,1.0,0.0,1.0
2,35,1.0,0.0,1.0
2,44,1.0,0.0,1.0
2,48,0.0,1.0,5.0
2,52,1.0,0.0,1.0
2,58,1.0,0.0,1.0
2,76,1.0,2.0,11.0
2,83,0.0,1.0,5.0
2,87,0.0,1.0,5.0
2,98,1.0,0.0,1.0
2,102,1.0,0.0,1.0
2,103,1.0,0.0,1.0
2,104,1.0,0.0,1.0
2,108,1.0,1.0,6.0
2,109,1.0,0.0,1.0
2,116,1.0,0.0,1.0
2,136,1.0,0.0,1.0
2,144,0.0,2.0,10.0
